Exp;Site;Hole;Core;Type;Sect;Depth CSF-A (m);GRA;PWL
369;U1512;A;1;R;1;50;1343;1531
369;U1512;A;1;R;1;100;1.52;1506
369;U1512;A;1;R;1;150;1535;1488
369;U1512;A;1;R;1;200;1536;1502
369;U1512;A;1;R;1;250;1537;1498
369;U1512;A;1;R;1;300;1483;1498
369;U1512;A;1;R;1;50;1.4;1531
369;U1512;A;1;R;1;100;1617;1506
369;U1512;A;1;R;1;150;1575;1488
369;U1512;A;1;R;1;200;1516;1502
369;U1512;A;1;R;1;250;1577;1498
369;U1512;A;1;R;1;300;1473;1498
369;U1512;A;1;R;CC;443;1634;1511
369;U1512;A;2;R;1;9700;1356;1465
369;U1512;A;2;R;1;9750;1394;1468
369;U1512;A;2;R;1;9800;1432;1505
369;U1512;A;2;R;1;9850;1461;1501
369;U1512;A;2;R;1;9900;1437;1499
369;U1512;A;2;R;1;9950;1466;1433
369;U1512;A;2;R;1;10000;1685;1515
369;U1512;A;2;R;1;10050;1.67;1522
369;U1512;A;2;R;1;10100;1671;1583
369;U1512;A;2;R;1;10150;1683;1608
369;U1512;A;2;R;1;10200;1694;1678
369;U1512;A;2;R;1;10250;1688;1602
369;U1512;A;2;R;1;10300;1717;1644
369;U1512;A;2;R;1;10350;1716;1639
369;U1512;A;2;R;1;10400;1697;1611
369;U1512;A;2;R;1;10450;1728;1649
369;U1512;A;2;R;1;10500;1748;1643
369;U1512;A;2;R;1;10550;1731;1634
369;U1512;A;2;R;1;9700;1439;1465
369;U1512;A;2;R;1;9725;1474;1452
369;U1512;A;2;R;1;9750;1502;1468
369;U1512;A;2;R;1;9800;1.5;1505
369;U1512;A;2;R;1;9825;1.54;1511
369;U1512;A;2;R;1;9850;1537;1501
369;U1512;A;2;R;1;9875;1.54;1505
369;U1512;A;2;R;1;9900;1545;1499
369;U1512;A;2;R;1;9925;1.58;1504
369;U1512;A;2;R;1;9950;1643;1433
369;U1512;A;2;R;1;9975;1647;1475
369;U1512;A;2;R;1;10000;1653;1515
369;U1512;A;2;R;1;10025;1655;1514
369;U1512;A;2;R;1;10050;1669;1522
369;U1512;A;2;R;1;10075;1638;1569
369;U1512;A;2;R;1;10100;1648;1583
369;U1512;A;2;R;1;10125;1674;1555
369;U1512;A;2;R;1;10150;1671;1608
369;U1512;A;2;R;1;10175;1672;1601
369;U1512;A;2;R;1;10200;1683;1678
369;U1512;A;2;R;1;10225;1699;1641
369;U1512;A;2;R;1;10250;1696;1602
369;U1512;A;2;R;1;10275;1706;1621
369;U1512;A;2;R;1;10300;1709;1644
369;U1512;A;2;R;1;10325;1.73;1648
369;U1512;A;2;R;1;10350;1699;1639
369;U1512;A;2;R;1;10375;1.68;1622
369;U1512;A;2;R;1;10400;1697;1611
369;U1512;A;2;R;1;10425;1693;1669
369;U1512;A;2;R;1;10450;1718;1649
369;U1512;A;2;R;1;10475;1723;1658
369;U1512;A;2;R;1;10500;1735;1643
369;U1512;A;2;R;1;10525;1724;1655
369;U1512;A;2;R;1;10550;1714;1634
369;U1512;A;2;R;1;10575;1693;1659
369;U1512;A;2;R;2;10683;1.68;1679
369;U1512;A;2;R;2;10733;1702;1603
369;U1512;A;2;R;2;10783;1.65;1631
369;U1512;A;2;R;2;10833;1656;1632
369;U1512;A;2;R;2;10883;1678;1650
369;U1512;A;2;R;2;10933;1708;1662
369;U1512;A;2;R;2;10983;1696;1664
369;U1512;A;2;R;2;11033;1688;1642
369;U1512;A;2;R;2;11083;1659;1636
369;U1512;A;2;R;2;11133;1678;1629
369;U1512;A;2;R;2;11183;1663;1622
369;U1512;A;2;R;2;10659;1657;1670
369;U1512;A;2;R;2;10709;1673;1630
369;U1512;A;2;R;2;10734;1678;1630
369;U1512;A;2;R;2;10759;1.67;1647
369;U1512;A;2;R;2;10784;1633;1643
369;U1512;A;2;R;2;10834;1644;5199
369;U1512;A;2;R;2;10909;1647;1641
369;U1512;A;2;R;2;10934;1679;1657
369;U1512;A;2;R;2;10959;1638;1642
369;U1512;A;2;R;2;10984;1654;1674
369;U1512;A;2;R;2;11009;1672;1646
369;U1512;A;2;R;2;11034;1675;1671
369;U1512;A;2;R;2;11059;1652;1662
369;U1512;A;2;R;2;11209;1655;1640
369;U1512;A;3;R;1;19300;1524;1522
369;U1512;A;3;R;1;19350;1092;1555
369;U1512;A;3;R;1;19400;1017;1505
369;U1512;A;3;R;1;19450;1562;1575
369;U1512;A;3;R;1;19500;1631;1591
369;U1512;A;3;R;1;19550;1658;1618
369;U1512;A;3;R;1;19600;1658;1662
369;U1512;A;3;R;1;19650;1676;1593
369;U1512;A;3;R;1;19700;1664;1659
369;U1512;A;3;R;1;19750;1681;1660
369;U1512;A;3;R;1;19800;1663;1669
369;U1512;A;3;R;1;19850;1.7;1602
369;U1512;A;3;R;1;19900;1681;1650
369;U1512;A;3;R;1;19950;1.66;1650
369;U1512;A;3;R;1;20000;1.52;1594
369;U1512;A;3;R;1;20050;1678;1597
369;U1512;A;3;R;1;20100;1.66;1661
369;U1512;A;3;R;1;20150;1642;1664
369;U1512;A;3;R;1;20200;1.63;1583
369;U1512;A;3;R;1;20250;1716;1597
369;U1512;A;3;R;1;20300;1.64;1648
369;U1512;A;3;R;1;20350;1633;1614
369;U1512;A;3;R;1;20400;1623;1688
369;U1512;A;3;R;1;20450;1618;1666
369;U1512;A;3;R;1;20500;1.64;1688
369;U1512;A;3;R;1;20550;1657;1654
369;U1512;A;3;R;1;20600;1674;1671
369;U1512;A;3;R;1;19300;1524;1522
369;U1512;A;3;R;1;19350;1035;1555
369;U1512;A;3;R;1;19400;1352;1505
369;U1512;A;3;R;1;19450;1.54;1575
369;U1512;A;3;R;1;19500;1534;1591
369;U1512;A;3;R;1;19550;1639;1618
369;U1512;A;3;R;1;19600;1651;1662
369;U1512;A;3;R;1;19650;1673;1593
369;U1512;A;3;R;1;19700;1651;1659
369;U1512;A;3;R;1;19750;1648;1660
369;U1512;A;3;R;1;19800;1642;1669
369;U1512;A;3;R;1;19850;1689;1602
369;U1512;A;3;R;1;19900;1676;1650
369;U1512;A;3;R;1;19950;1675;1650
369;U1512;A;3;R;1;20000;1513;1594
369;U1512;A;3;R;1;20050;1672;1597
369;U1512;A;3;R;1;20100;1658;1661
369;U1512;A;3;R;1;20150;1679;1664
369;U1512;A;3;R;1;20200;1634;1583
369;U1512;A;3;R;1;20250;1709;1597
